open,high,low,close,volume,datetime
1.12907,1.1297,1.12873,1.12967,3326.0,2022-02-03 09:00:00
1.12967,1.1302,1.12878,1.12945,4655.0,2022-02-03 10:00:00
1.12945,1.12963,1.12832,1.12836,3112.0,2022-02-03 11:00:00
1.12836,1.12852,1.12754,1.12787,2652.0,2022-02-03 12:00:00
1.12787,1.12823,1.12748,1.12796,2420.0,2022-02-03 13:00:00
1.12796,1.12978,1.12665,1.12908,14322.0,2022-02-03 14:00:00
1.12908,1.1365,1.12787,1.1365,23652.0,2022-02-03 15:00:00
1.1366,1.14112,1.13609,1.13904,27157.0,2022-02-03 16:00:00
1.13904,1.14231,1.13856,1.1417,15164.0,2022-02-03 17:00:00
1.1417,1.14508,1.14139,1.14251,9664.0,2022-02-03 18:00:00
1.14251,1.14449,1.14192,1.14433,6427.0,2022-02-03 19:00:00
1.14433,1.14437,1.14254,1.14421,3502.0,2022-02-03 20:00:00
1.14421,1.14492,1.14295,1.14327,2950.0,2022-02-03 21:00:00
1.14327,1.14356,1.14272,1.143,2448.0,2022-02-03 22:00:00
1.143,1.14414,1.14285,1.14389,1365.0,2022-02-03 23:00:00
1.1438,1.14397,1.14331,1.14387,850.0,2022-02-04 00:00:00
1.14387,1.14415,1.14345,1.1435,1003.0,2022-02-04 01:00:00
1.1435,1.14455,1.14315,1.14452,1991.0,2022-02-04 02:00:00
1.14452,1.14535,1.14442,1.14514,1789.0,2022-02-04 03:00:00
1.14514,1.14628,1.14482,1.14626,2145.0,2022-02-04 04:00:00
1.14626,1.14682,1.14588,1.14618,1666.0,2022-02-04 05:00:00
1.14618,1.14712,1.14587,1.14656,1293.0,2022-02-04 06:00:00
1.14656,1.1468,1.14588,1.14594,1261.0,2022-02-04 07:00:00
1.14594,1.14608,1.14534,1.1456,2333.0,2022-02-04 08:00:00
1.1456,1.14681,1.14508,1.14667,6318.0,2022-02-04 09:00:00
1.14667,1.14667,1.14391,1.14596,7831.0,2022-02-04 10:00:00
1.14596,1.14649,1.14486,1.14626,5475.0,2022-02-04 11:00:00
1.14626,1.14747,1.14583,1.14624,6373.0,2022-02-04 12:00:00
1.14624,1.14831,1.14562,1.14778,6375.0,2022-02-04 13:00:00
1.14778,1.14815,1.14643,1.14645,5118.0,2022-02-04 14:00:00
1.14645,1.14675,1.14211,1.14356,18603.0,2022-02-04 15:00:00
1.14356,1.14573,1.14146,1.1415,16452.0,2022-02-04 16:00:00
1.1415,1.14426,1.14108,1.14415,12153.0,2022-02-04 17:00:00
1.14415,1.14551,1.14352,1.14514,5495.0,2022-02-04 18:00:00
1.14514,1.1462,1.14514,1.14536,2556.0,2022-02-04 19:00:00
1.14536,1.14636,1.14509,1.1454,1964.0,2022-02-04 20:00:00
1.1454,1.14573,1.14468,1.14475,2184.0,2022-02-04 21:00:00
1.14475,1.14592,1.14471,1.14543,2308.0,2022-02-04 22:00:00
1.14543,1.14551,1.14483,1.14506,770.0,2022-02-04 23:00:00
1.14616,1.14616,1.14541,1.1456,496.0,2022-02-07 00:00:00
1.1456,1.14577,1.14507,1.14538,1237.0,2022-02-07 01:00:00
1.14538,1.14552,1.14497,1.14523,1616.0,2022-02-07 02:00:00
1.14523,1.14532,1.14389,1.14408,2084.0,2022-02-07 03:00:00
1.14408,1.14421,1.14265,1.14271,2122.0,2022-02-07 04:00:00
1.14271,1.14329,1.14241,1.14322,1641.0,2022-02-07 05:00:00
1.14322,1.144,1.14315,1.1438,1161.0,2022-02-07 06:00:00
1.1438,1.14397,1.14293,1.14299,1891.0,2022-02-07 07:00:00
1.14299,1.14354,1.14284,1.14309,2003.0,2022-02-07 08:00:00
1.14309,1.14346,1.14249,1.14315,4267.0,2022-02-07 09:00:00
1.14315,1.14486,1.1426,1.14332,7269.0,2022-02-07 10:00:00
1.14332,1.14337,1.14147,1.14228,4814.0,2022-02-07 11:00:00
1.14228,1.14302,1.14156,1.14205,3792.0,2022-02-07 12:00:00
1.14205,1.14459,1.14199,1.14426,4427.0,2022-02-07 13:00:00
1.14426,1.14582,1.14415,1.14546,5843.0,2022-02-07 14:00:00
1.14546,1.14562,1.14287,1.14391,6255.0,2022-02-07 15:00:00
1.1439,1.14456,1.14198,1.14375,7801.0,2022-02-07 16:00:00
1.14375,1.14507,1.14289,1.14427,9714.0,2022-02-07 17:00:00
1.14427,1.14504,1.14195,1.14334,8996.0,2022-02-07 18:00:00
1.14334,1.14337,1.14168,1.14181,2421.0,2022-02-07 19:00:00
1.14181,1.14262,1.14166,1.14258,1395.0,2022-02-07 20:00:00
1.14258,1.14432,1.14247,1.14426,1921.0,2022-02-07 21:00:00
1.14426,1.14426,1.14353,1.14378,1810.0,2022-02-07 22:00:00
1.14378,1.14413,1.14358,1.1441,865.0,2022-02-07 23:00:00
1.14416,1.14429,1.14383,1.14409,535.0,2022-02-08 00:00:00
1.14409,1.14415,1.14328,1.14404,1147.0,2022-02-08 01:00:00
1.14404,1.14422,1.14355,1.1442,1298.0,2022-02-08 02:00:00
1.1442,1.14481,1.14349,1.14351,1949.0,2022-02-08 03:00:00
1.14351,1.14352,1.14263,1.14295,1797.0,2022-02-08 04:00:00
1.14295,1.14317,1.14285,1.14294,802.0,2022-02-08 05:00:00
1.14294,1.14302,1.14211,1.14231,918.0,2022-02-08 06:00:00
1.14231,1.14246,1.14146,1.14164,1390.0,2022-02-08 07:00:00
1.14164,1.14227,1.1413,1.14192,1671.0,2022-02-08 08:00:00
1.14192,1.14201,1.13954,1.13982,6141.0,2022-02-08 09:00:00
1.13982,1.14085,1.13972,1.14043,6433.0,2022-02-08 10:00:00
1.14043,1.14081,1.13974,1.14052,4020.0,2022-02-08 11:00:00
1.14051,1.1428,1.14017,1.14273,4170.0,2022-02-08 12:00:00
1.14274,1.1433,1.14216,1.14256,4692.0,2022-02-08 13:00:00
1.14256,1.14265,1.14146,1.14174,4483.0,2022-02-08 14:00:00
1.14174,1.14174,1.13995,1.14082,5189.0,2022-02-08 15:00:00
1.14083,1.14232,1.14049,1.1408,6070.0,2022-02-08 16:00:00
1.1408,1.14211,1.14025,1.14176,6702.0,2022-02-08 17:00:00
1.14177,1.14202,1.14091,1.14143,3675.0,2022-02-08 18:00:00
